:START_ID,:END_ID,:TYPE
243001,40001,HAS_APPLICATION
243001,40002,HAS_APPLICATION
243002,40003,HAS_APPLICATION
243003,40004,HAS_APPLICATION
243004,40005,HAS_APPLICATION
243005,40006,HAS_APPLICATION
243006,40007,HAS_APPLICATION
243006,40008,HAS_APPLICATION
243007,40009,HAS_APPLICATION
243008,40010,HAS_APPLICATION
243009,40011,HAS_APPLICATION
243010,40012,HAS_APPLICATION
243011,40013,HAS_APPLICATION
243012,40014,HAS_APPLICATION
243013,40015,HAS_APPLICATION
243013,40016,HAS_APPLICATION
243014,40017,HAS_APPLICATION
243015,40018,HAS_APPLICATION
243016,40019,HAS_APPLICATION
243017,40020,HAS_APPLICATION
243018,40021,HAS_APPLICATION
243019,40022,HAS_APPLICATION
243020,40023,HAS_APPLICATION
